Agency,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Falcon Sight Properties,"Parklands, Parklands, Westlands","KSh 135,000",/listings/4-bedroom-apartment-for-rent-parklands-3464985,4,4,4
Ws Properties Limited,"Rhapta Road, Westlands Area, Westlands","KSh 135,000",/listings/furnished-1-bedroom-apartment-for-rent-westlands-area-3397216,1,1,1
Ws Properties Limited,"Laikipia Road, Kileleshwa, Dagoretti North","KSh 135,000",/listings/furnished-2-bedroom-apartment-for-rent-kileleshwa-3399237,150,2,2
Opus Properties,"1st Parklands Avenue, Parklands, Westlands","KSh 135,000",/listings/3-bedroom-apartment-for-rent-parklands-3466515,3,3,4
Green Knight Properties,"Pilipili way, Westlands Area, Westlands","KSh 135,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3450758,2,2,3
Tysons Limited,"Lavington, Dagoretti North","KSh 135,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3455122,3,3,2
Kensimenterprises,"Waiyaki Way, Westlands","KSh 135,000",/listings/4-bedroom-apartment-for-rent-waiyaki-way-3384710,4,4,3
Eastwood Consulting Ltd,"Brookside Drive, Brookside, Westlands","KSh 135,000",/listings/3-bedroom-apartment-for-rent-brookside-3458439,3,3,3
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 135,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3464332,2,2,2
Ws Properties Limited,"Waiyaki Way, Westlands Area, Westlands","KSh 135,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3428305,150,2,2
Fit Property,"Riara Road, Kilimani, Nairobi , Kilimani, Dagoretti North","KSh 135,000",/listings/4-bedroom-apartment-for-rent-kilimani-3430967,260,4,
Stop Properties Real Estate,"Rhapta Road, Westlands","KSh 136,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3465201,3,3,3
Mambo Properties Enterprise,"Mpaka Rd, Westlands Area, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3437702,23,3,2
Mambo Properties Enterprise,"Riverside Drive, Riverside, Westlands","KSh 140,000",/listings/furnished-1-bedroom-apartment-for-rent-riverside-3444404,7,1,1
Mambo Properties Enterprise,"General Mathenge, General Mathenge, Westlands","KSh 140,000",/listings/4-bedroom-apartment-for-rent-general-mathenge-3444472,24,4,4
Mambo Properties Enterprise,"Rhapta Rd, Rhapta Road, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3455291,23,3,3
Mambo Properties Enterprise,"Riverside close, Riverside, Westlands","KSh 140,000",/listings/2-bedroom-apartment-for-rent-riverside-3468485,160,2,2
Kenya Classic Homes,"Lavington, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-lavington-3443811,279,3,4
Kenya Classic Homes,"Lavington, Dagoretti North","KSh 140,000",/listings/4-bedroom-apartment-for-rent-lavington-3465478,180,4,5
Green Knight Properties,"Mbaazi, Lavington, Dagoretti North","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-lavington-3468044,2,2,2
Highend Consulting,"Naivasha Avenue, Old Muthaiga, Muthaiga","KSh 140,000",/listings/1-bedroom-apartment-for-rent-old-muthaiga-1-3425822,4047,1,1
Capstone Properties,"Riverside, Westlands","KSh 140,000",/listings/2-bedroom-apartment-for-rent-riverside-3458708,2,2,
Absolute Estate Agents,"Lenana rd,kilimani, Kilimani, Dagoretti North","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-40605,120,2,2
Paradigm Homes,"Othaya Road, Kileleshwa, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3459425,3,3,5
Royani Properties Limited,"Laikipia Road, Kileleshwa, Dagoretti North","KSh 140,000",/listings/furnished-3-bedroom-apartment-for-rent-kileleshwa-3467117,3,3,2
Origin Homes,"Off Riara, Lavington, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-lavington-3460382,3,3,5
Jazari Homes,"Lavington, Lavington, Lavington, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-lavington-3466810,3,3,3
A1 Properties Limited,"Kilimani, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-kilimani-3382042,300,3,4
A1 Properties Limited,"Kileleshwa, Dagoretti North","KSh 140,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-3-3412639,300,4,5
Dakima Home International,"Brookside, Brookside, Westlands","KSh 140,000",/listings/furnished-1-bedroom-apartment-for-rent-brookside-3445966,1,1,1
Cfs Homes,"Parklands, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-parklands-3439133,3,3,
Unique Casles Management Ltd,"Waiyaki Way, Westlands","KSh 140,000",/listings/4-bedroom-apartment-for-rent-waiyaki-way-3462353,4,4,3
Unique Casles Management Ltd,"Jambo Regency Apartments, Waiyaki Way, Westlands","KSh 140,000",/listings/4-bedroom-apartment-for-rent-waiyaki-way-3462381,4,4,3
Keensell Ventures,"Lavington, Dagoretti North","KSh 140,000",/listings/furnished-1-bedroom-apartment-for-rent-lavington-1-3452086,1,1,
Jakharris Africa Ltd,"Rhapta Road, Westlands","KSh 140,000",/listings/4-bedroom-apartment-for-rent-rhapta-road-3458720,4,4,3
Royani Properties Limited,"Fahari Palace Apartments, Church Road, Westlands Area, Westlands","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-1-3443875,2,2,2
Coralinternational Ltd,"Off Dennis Pritt Road, Kileleshwa, Dagoretti North","KSh 140,000",/listings/furnished-3-bedroom-apartment-for-rent-kileleshwa-3460795,3,3,2
Coralinternational Ltd,"Westlands Area, Westlands","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3393046,2,2,2
Coralinternational Ltd,"Parklands, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-parklands-3450378,3,3,3
Coralinternational Ltd,"Lower Kabete, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-lower-kabete-3455373,3,3,3
Simkar Group Limited,"Mpaka Road, Westlands Area, Westlands","KSh 140,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3408622,2,2,2
Mambo Properties Enterprise,"Ngong Rd, Kilimani, Dagoretti North","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3448518,13,2,2
Green Knight Properties,"Riverside drive , Riverside, Westlands","KSh 140,000",/listings/furnished-1-bedroom-apartment-for-rent-riverside-3426101,1,1,1
Prime Lands,"kindaruma road, Kilimani, Dagoretti North","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3462310,2,2,2
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-riverside-1-3457111,3,3,3
Origin Homes,"Parklands, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-parklands-3465563,3,3,4
Buy Rent Shelters,"Brookside, Brookside, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-brookside-3461592,3,3,3
Buy Rent Shelters,"Brookside, Westlands Area, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3464363,3,3,3
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3459313,2023,3,3
Wealthlink Realtors Ltd,"Kileleshwa, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3465162,3,3,2
Buy Rent Shelters,"Brookside, Brookside, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-brookside-3461592,3,3,3
Buy Rent Shelters,"Brookside, Westlands Area, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3464363,3,3,3
Olympia Gold Real Estate,"Riverside, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-riverside-3460576,3,3,3
Naftal Properties,"Lavington, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-lavington-3466357,3,3,3
Ensuite Realtors,"Othaya Road, Kileleshwa, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3459525,3,3,5
Greenday Properties,"Kileleshwa, Dagoretti North","KSh 140,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3459337,1500,2,2
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North","KSh 140,000",/listings/furnished-3-bedroom-apartment-for-rent-lavington-3460344,3,3,4
J M Mccarthy Properties Ltd,"Kilimani, Dagoretti North","KSh 140,000",/listings/2-bedroom-apartment-for-rent-kilimani-3465542,2,2,2
Hassconsult,"Waiyaki Way, Westlands","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-waiyaki-way-3394604,2,2,2
Kenya Classic Homes,"Riverside, Westlands","KSh 140,000",/listings/2-bedroom-apartment-for-rent-riverside-3443970,186,2,2
Citiscape Valuers And Estate Agents Ltd,"Kilimani, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-kilimani-3434316,3,3,2
Prime Lands,"Kilimani, Dagoretti North","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3432062,111,2,
Halifax Estate Agency,"General Mathenge, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-general-mathenge-3462283,3,3,2
City Homes Kenya Real Estate,"suguta road, Kileleshwa, Dagoretti North","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-kileleshwa-3464733,2,2,2
Origin Homes,"General Mathenge, Westlands","KSh 140,000",/listings/2-bedroom-apartment-for-rent-general-mathenge-3465560,2,2,3
Buy Rent Shelters,"Brookside, Westlands Area, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3460313,262,3,3
Buy Rent Shelters,"Westlands, Brookside, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-brookside-3465235,3,3,3
Yellow Market,"near Valley arcade shopping, Valley Arcade, Dagoretti North","KSh 140,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-3467009,3,3,4
Symonns Realty,"Riverside, Westlands","KSh 140,000",/listings/4-bedroom-apartment-for-rent-riverside-3-3405029,4,4,3
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3466095,20000,2,2
Cloud Real Estate,"Kilimani, Dagoretti North","KSh 140,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3468385,2,2,
Ws Properties Limited,"5Th Avenue, Parklands, Westlands","KSh 140,000",/listings/4-bedroom-apartment-for-rent-parklands-3397138,4,4,4
Casapiu Holdings Limited,"Riverside, Westlands","KSh 140,000",/listings/3-bedroom-apartment-for-rent-riverside-3463842,3,3,4
Coralinternational Ltd,"Githuri Road, Parklands, Westlands","KSh 145,000",/listings/4-bedroom-apartment-for-rent-parklands-3426167,4,4,5
Pam Golding Properties,"Kilimani, Dagoretti North","KSh 145,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3446917,3,3,4
Pam Golding Properties,"Thika Road, Thika Road","KSh 145,000",/listings/3-bedroom-apartment-for-rent-thika-road-3447745,3,3,3
Fit Property,"Gatundu Road, Kileleshwa, Nairobi, Kileleshwa, Dagoretti North","KSh 145,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3463140,2400,3,3
Washington Homes Kenya,"Riverside Drive, Riverside, Westlands","KSh 145,000",/listings/3-bedroom-apartment-for-rent-riverside-3468376,3,3,5
Coralinternational Ltd,"Parklands, Westlands","KSh 145,000",/listings/4-bedroom-apartment-for-rent-parklands-3463913,4,4,4
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North","KSh 145,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3444100,3,3,3
Geoscape Global Limited,"Westlands Area, Westlands","KSh 145,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3455948,2,2,2
Capstone Properties,"Kilimani, Dagoretti North","KSh 145,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467010,3,3,3
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North","KSh 145,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-1-3453372,3,3,3
Coralinternational Ltd,"Argwings Kodhek Rd, Kilimani, Dagoretti North","KSh 150,000",/listings/2-bedroom-apartment-for-rent-kilimani-3439001,2,2,2
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kilimani-3440346,279,4,5
Mambo Properties Enterprise,"Othaya Rd, Lavington, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-lavington-3437258,24,4,4
Mambo Properties Enterprise,"Laikipia Rd, Riverside, Westlands","KSh 150,000",/listings/2-bedroom-apartment-for-rent-riverside-3446001,13,2,2
Green Knight Properties,"Laikipia , Kileleshwa, Dagoretti North","KSh 150,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3449150,2,2,2
Realty Plus,"Riverside, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-riverside-2-3404954,3,3,3
Capstone Properties,"General Mathenge, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-general-mathenge-3466946,3,3,
Yellow Market,"Othaya Road, Lavington, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-lavington-3423535,4,4,4
Dmus Realtors,"Siaya Road, Kileleshwa, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-3459019,4,4,5
Fit Property,"Parklands Road, Westlands, Nairobi, Parklands, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-parklands-3443739,260,4,
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-westlands-area-3466756,21000,4,4
Dmus Realtors,"Siaya Road, Kileleshwa, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-3459019,4,4,5
A1 Properties Limited,"Kileleshwa, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-3-3429181,4,4,5
Naftal Properties,"Lavington, Dagoretti North","KSh 150,000",/listings/2-bedroom-apartment-for-rent-lavington-3435344,200,2,2
Naftal Properties,"Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3467046,2,2,
Yellow Market,"Othaya Road, Lavington, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-lavington-3423535,4,4,4
Fit Property,"Parklands Road, Westlands, Nairobi, Parklands, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-parklands-3443739,260,4,
Dakima Home International,"Westlands Area, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-westlands-area-3467221,4,4,3
Ws Properties Limited,"Mandera Road, Kileleshwa, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-1-3414942,220,3,4
Ws Properties Limited,"Lantana Road, Rhapta Road, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-rhapta-road-3466013,2500,4,5
Blue Zone Properties,"1, Redhill drive, Nyari, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-nyari-3460320,270,3,4
Lizmor Properties,"Waiyaki Way, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-waiyaki-way-3427202,2,2,
Gerryville Homes,"Kileleshwa, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-3440198,4,4,
Taji Suburbs Ltd,"Riverside, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-riverside-3463319,3,3,4
Dunhill Consulting Limited,"Kindaruma Road, Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3432501,2,2,2
Calmillers_Holding_Ltd,"Rhapta Road, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3454834,3,3,3
Chelezo Residency,"Rose Avenue, Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3466776,3,3,2
Furnished Rentals,"Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3468206,3,3,3
Furnished Rentals,"Westlands Area, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3468295,2,2,2
Dunhill Consulting Limited,"Kindaruma Road, Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3432501,2,2,2
Keensell Ventures,"parklands, Parklands, Parklands, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-parklands-1-3453490,4,4,4
Splendor Holdings,"Kilimani, Dagoretti North","KSh 150,000",/listings/2-bedroom-apartment-for-rent-kilimani-3441455,120,2,
Ace Realtors Limited,"21 03 25, 32 FA, Waiyaki Way, Westlands","KSh 150,000",/listings/furnished-1-bedroom-apartment-for-rent-waiyaki-way-3464528,111,1,1
Coralinternational Ltd,"Le'mac, Slip Road, Waiyaki Way, Westlands","KSh 150,000",/listings/2-bedroom-apartment-for-rent-waiyaki-way-3389791,46,2,2
Mambo Properties Enterprise,"Gatundu Rd, Kileleshwa, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3437363,23,3,4
Mambo Properties Enterprise,"Rhapta Rd, Rhapta Road, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-rhapta-road-3455297,25,4,3
Pam Golding Properties,"Karen, Langata","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-karen-3432399,2,2,3
Pam Golding Properties,"Kilimani, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kilimani-3437577,4,4,5
Pam Golding Properties,"Thika Road, Thika Road","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-thika-road-3462394,2,2,1
Azizi Realtors,"Othaya road, Kileleshwa, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3466000,3,3,4
Prime Lands,"12, lower kabete, Brookside, Westlands","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-brookside-21259,3,3,4
Realty Plus,"Lavington, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-lavington-2-3430453,3,3,2
Realty Plus,"Lavington, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-lavington-2-3457886,3,3,2
Halifax Estate Agency,"Rhapta Road, Westlands","KSh 150,000",/listings/furnished-4-bedroom-apartment-for-rent-rhapta-road-3415377,4,4,
Ring Kenya Ltd,"Kileleshwa, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-1-3429719,3,3,3
Sema Estate Agents,"Nyari, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-nyari-3465636,4,4,
Rayalink Properties,"Riara road, Kilimani, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kilimani-3461129,2025,3,2
Sir Francis Marketingconsultants Ltd,"Yaya Centre, Kilimani, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kilimani-3462797,290,4,5
Yellow Market,"walk to valley arcade, Lavington, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-lavington-3461678,4,4,5
Yellow Market,"near Kasusku, Kileleshwa, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3467007,3,3,4
Acurate Homes Limited,"Rhapta Road, Rhapta Road, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3439968,3,3,4
Dmus Realtors,"Brookside, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-brookside-3457254,3,3,4
Dmus Realtors,"Brookside Drive, Westlands Area, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3457383,3,3,3
Origin Homes,"Kilimani, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kilimani-3458706,3,3,3
Origin Homes,"General Mathenge, Westlands","KSh 150,000",/listings/2-bedroom-apartment-for-rent-general-mathenge-3466157,2,2,3
Origin Homes,"Shanzu road, Spring Valley, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-spring-valley-3466463,4,4,5
Wealthlink Realtors Ltd,"Kileleshwa, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-1-3453516,325,4,4
Wealthlink Realtors Ltd,"Kiambu Road, Kiambu Road","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-3463901,3,3,2
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-westlands-area-3465680,4,4,3
Dakima Home International,"Westlands Area, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-westlands-area-3449220,4,4,4
Good Living Properties Limited,"Westlands Area, Westlands","KSh 150,000",/listings/1-bedroom-apartment-for-rent-westlands-area-1-3442425,1,1,1
Gemac Properties,"Lone Tree, Rosslyn, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-rosslyn-3391738,80,2,2
Blue Zone Properties,"1, Rosslyn Lone Tree Estate Road, Rosslyn, Westlands","KSh 150,000",/listings/2-bedroom-apartment-for-rent-rosslyn-1-3407415,90,2,2
Ws Properties Limited,"Brookside Drive, Brookside, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-brookside-3397215,150,2,2
Ws Properties Limited,"Peponi Road, Westlands Area, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3397310,150,2,2
Lizmor Properties,"Westlands Area, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3465685,2,2,
Lizmor Properties,"Brookside, Westlands","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-brookside-3467384,3,3,
Cfs Homes,"Hurlingham, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-hurlingham-3438517,3,3,
Furnished Rentals,"Kileleshwa, Dagoretti North","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-kileleshwa-3467935,2,2,2
Furnished Rentals,"Westlands Area, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3468079,2,2,2
Furnished Rentals,"Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3468207,3,3,3
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3468747,2,2,3
Keensell Ventures,"Brookside, Brookside, Brookside, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-brookside-1-3452637,4,4,4
Casapiu Holdings Limited,"Rhapta Road, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3463589,3,3,4
J M Mccarthy Properties Ltd,"Westlands Area, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-westlands-area-1-3456454,4,4,4
Trisums Investments Company Limited,"Mbaazi Avenue, Lavington, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-lavington-3464699,3,3,3
Canaan Properties,"Parklands, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-parklands-3468561,4,4,
Stop Properties Real Estate,"Westlands Area, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3461714,3,3,
Mambo Properties Enterprise,"Gatundu Rd, Kileleshwa, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3454661,23,3,3
Mambo Properties Enterprise,"Kitale Lane, Kilimani, Dagoretti North","KSh 150,000",/listings/2-bedroom-apartment-for-rent-kilimani-3454712,14,2,2
Regent Management Ltd,"Dennis Pritt, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-dennis-pritt-1-3426274,3,3,2
Eastwood Consulting Ltd,"6Th Parklands , Parklands, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-parklands-3416377,158,3,2
Capstone Properties,"Kyuna, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kyuna-3466990,3,3,3
El Roi Properties,"Argwings Kodhek, Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-1-3458217,160,3,4
City Homes Kenya Real Estate,"School lane, Westlands Area, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3464798,2,2,2
City Homes Kenya Real Estate,"School lane, Westlands Area, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3464798,2,2,2
Regent Management Ltd,"Dennis Pritt, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-dennis-pritt-1-3426274,3,3,2
Pam Golding Properties,"Argwings Kodhek Rd, Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3438263,3,3,4
Pam Golding Properties,"Gigiri, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-gigiri-3468600,3,3,2
Vaal Real Estate,"Kiambere Road, Upper Hill, Langata","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-upper-hill-3460480,133,2,
Lavingtonmanagement,"Mbaazi, Lavington, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-lavington-3431799,4,4,3
Yellow Market,"Near Yaya Center, Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-1-bedroom-apartment-for-rent-kilimani-3449097,1,1,1
Yellow Market,"behind Junction Mall, Kilimani, Dagoretti North","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-kilimani-3464243,3,3,3
Wealthlink Realtors Ltd,"Kileleshwa, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-3460513,4,4,4
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-westlands-area-3465694,4,4,4
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3449364,2601,3,4
Apricotsolutions Limited,"Riverside, Westlands","KSh 150,000",/listings/2-bedroom-apartment-for-rent-riverside-3466257,2,2,2
Dmus Realtors,"General Mathenge Drive, General Mathenge, Westlands","KSh 150,000",/listings/4-bedroom-apartment-for-rent-general-mathenge-3467419,3000,4,4
Hilltrust Consult,"Brookside Drive, Brookside, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-brookside-2-3454432,3,3,
Right Fit Properties,"Kileleshwa, Dagoretti North","KSh 150,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3467587,3,3,4
Naftal Properties,"Lavington, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-lavington-3436710,4,4,4
Ws Properties Limited,"Rhapta Road, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3464049,3,3,3
Vsb Properties Limited,"School Lane, Parklands, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-parklands-3421540,2,2,2
Allione Real Estate,"Kilimani, Dagoretti North","KSh 150,000",/listings/2-bedroom-apartment-for-rent-kilimani-3437428,2,2,3
Cfs Homes,"Brookside, Westlands","KSh 150,000",/listings/furnished-3-bedroom-apartment-for-rent-brookside-3438980,3,3,
Urban Hut,"Lavington, Dagoretti North","KSh 150,000",/listings/4-bedroom-apartment-for-rent-lavington-3461802,4,4,4
Fit Property,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands","KSh 150,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3444482,325,3,
